Resultados do Agente V1:
Localizações - Buracos: [(3, 1), (0, 3), (0, 1), (0, 2)], Wumpus: (1, 1), Ouro: None
(7, 5, 0.25, 1, 0, 1, 1, -1003)
(8, 5, 0.25, 1, 0, 1, 1, -1043)
(9, 5, 0.25, 1, 0, 1, 1, -1097)
(10, 5, 0.25, 1, 0, 1, 1, -1149)
(11, 5, 0.25, 1, 0, 1, 1, -1161)
(12, 5, 0.25, 1, 0, 1, 1, -1079)
(13, 5, 0.25, 1, 0, 1, 1, -1107)
(14, 5, 0.25, 1, 0, 1, 1, -1035)
(15, 5, 0.25, 1, 0, 1, 1, -1113)
(16, 5, 0.25, 1, 0, 1, 1, -1079)
(17, 5, 0.25, 1, 0, 1, 1, -1003)
(18, 5, 0.25, 1, 0, 1, 1, -1141)
(19, 5, 0.25, 1, 0, 1, 1, -1049)
(0, 10, 0.25, 0, 0, 0, 0, -1034)
(1, 10, 0.25, 0, 0, 0, 0, -1004)
(2, 10, 0.25, 0, 0, 0, 0, -1063)
(3, 10, 0.25, 0, 0, 0, 0, -1007)
(4, 10, 0.25, 0, 0, 0, 0, -1046)
(5, 10, 0.25, 0, 0, 0, 0, -1004)
(6, 10, 0.25, 0, 0, 0, 0, -1048)
(7, 10, 0.25, 0, 0, 0, 0, -1014)
(8, 10, 0.25, 0, 0, 0, 0, -1008)
(9, 10, 0.25, 0, 0, 0, 0, -1029)
(10, 10, 0.25, 0, 0, 0, 0, -1089)
(11, 10, 0.25, 0, 0, 0, 0, -1045)
(12, 10, 0.25, 0, 0, 0, 0, -1178)
(13, 10, 0.25, 0, 0, 0, 0, -1032)
(14, 10, 0.25, 0, 0, 0, 0, -1010)
(15, 10, 0.25, 0, 0, 0, 0, -1024)
(16, 10, 0.25, 0, 0, 0, 0, -1041)
(17, 10, 0.25, 0, 0, 0, 0, -1020)
(18, 10, 0.25, 0, 0, 0, 0, -1068)
(19, 10, 0.25, 0, 0, 0, 0, -1135)

Resultados do Agente V1:
